Date: Sun Nov 17 14:41:15 2024, Type: Ajout, Details: Un client est ajoute: haha lol
Date: Sun Nov 17 14:42:23 2024, Type: Suppression, Details: Supprimer client avec l'ID 5
Date: Sun Nov 17 15:14:17 2024, Type: Ajout, Details: Un client est ajoute: a a
Date: Sun Nov 17 15:17:22 2024, Type: Modification, Details: Un client a été modifie: haha ds
Date: Sun Nov 17 15:17:35 2024, Type: Modification, Details: Un client a été modifie: haha sasa
Date: Sun Nov 17 15:27:47 2024, Type: Ajout, Details: Un client est ajoute: po lds
Date: Sun Nov 17 15:30:29 2024, Type: Modification, Details: Un client a été modifie: hrechi louay
Date: Sun Nov 17 15:36:46 2024, Type: Ajout, Details: Un client est ajoute: lo dsq
Date: ????? ?????? 17 18:55:43 2024, Type: Ajout, Details: Un client est ajoute: bej chaima
Date: ????? ?????? 17 18:56:18 2024, Type: Modification, Details: Un client a été modifie: louay louay
Date: ????? ?????? 17 23:49:29 2024, Type: Ajout, Details: Un client est ajoute: houssem houssem
Date: ????? ?????? 17 23:50:01 2024, Type: Modification, Details: Un client a été modifie: noom houssem
